Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2021-03-18,20.0,29.0,5,16.0,0,14.0
2021-03-19,22.0,28.0,6,16.0,0,14.0
2021-03-20,26.0,28.0,6,15.0,0,13.0
2021-03-21,29.0,28.0,7,15.0,0,13.0
2021-03-22,27.0,28.0,8,15.0,0,13.0
2021-03-23,29.0,27.0,9,15.0,0,13.0
2021-03-24,31.0,27.0,7,15.0,0,13.0
2021-03-25,30.0,27.0,7,15.0,0,13.0
2021-03-26,29.0,27.0,7,15.0,0,13.0
2021-03-27,31.0,26.0,7,14.0,0,13.0
2021-03-28,32.0,26.0,8,14.0,0,12.0
2021-03-29,34.0,26.0,8,14.0,0,12.0
2021-03-30,37.0,26.0,6,14.0,0,12.0
2021-03-31,38.0,25.0,6,14.0,0,12.0
2021-04-01,29.0,25.0,6,14.0,0,12.0
2021-04-02,27.0,25.0,4,14.0,0,12.0
2021-04-03,25.0,25.0,4,14.0,0,12.0
2021-04-04,22.0,24.0,4,13.0,0,12.0
2021-04-05,,24.0,,13.0,,11.0
2021-04-06,,24.0,,13.0,,11.0
2021-04-07,,24.0,,13.0,,11.0
2021-04-08,,24.0,,13.0,,11.0
2021-04-09,,24.0,,13.0,,11.0
2021-04-10,,23.0,,13.0,,11.0
2021-04-11,,23.0,,13.0,,11.0
2021-04-12,,23.0,,12.0,,11.0
2021-04-13,,23.0,,12.0,,11.0
2021-04-14,,23.0,,12.0,,11.0
2021-04-15,,23.0,,12.0,,10.0
2021-04-16,,22.0,,12.0,,10.0
2021-04-17,,22.0,,12.0,,10.0
2021-04-18,,22.0,,12.0,,10.0
2021-04-19,,22.0,,12.0,,10.0
2021-04-20,,22.0,,12.0,,10.0
2021-04-21,,22.0,,12.0,,10.0
2021-04-22,,22.0,,11.0,,10.0
2021-04-23,,21.0,,11.0,,10.0
2021-04-24,,21.0,,11.0,,10.0
2021-04-25,,21.0,,11.0,,10.0
2021-04-26,,21.0,,11.0,,10.0
2021-04-27,,21.0,,11.0,,10.0
2021-04-28,,21.0,,11.0,,10.0
2021-04-29,,21.0,,11.0,,9.0
2021-04-30,,21.0,,11.0,,9.0
2021-05-01,,21.0,,11.0,,9.0
2021-05-02,,20.0,,11.0,,9.0
2021-05-03,,20.0,,10.0,,9.0
2021-05-04,,20.0,,10.0,,9.0
