Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2021-03-17,95.0,88.0,11,23.0,0,40.0
2021-03-18,102.0,88.0,9,23.0,0,40.0
2021-03-19,104.0,88.0,9,23.0,0,39.0
2021-03-20,105.0,87.0,9,23.0,0,39.0
2021-03-21,103.0,87.0,8,23.0,0,39.0
2021-03-22,99.0,86.0,8,23.0,0,38.0
2021-03-23,91.0,86.0,10,22.0,0,38.0
2021-03-24,92.0,86.0,9,22.0,0,38.0
2021-03-25,85.0,85.0,9,22.0,0,38.0
2021-03-26,84.0,85.0,9,22.0,0,38.0
2021-03-27,80.0,85.0,10,22.0,0,37.0
2021-03-28,76.0,84.0,11,22.0,0,37.0
2021-03-29,71.0,84.0,11,22.0,0,37.0
2021-03-30,63.0,84.0,13,21.0,0,37.0
2021-03-31,76.0,84.0,14,21.0,0,37.0
2021-04-01,80.0,84.0,15,21.0,0,36.0
2021-04-02,76.0,83.0,14,21.0,0,36.0
2021-04-03,76.0,83.0,15,21.0,0,36.0
2021-04-04,82.0,83.0,15,21.0,0,36.0
2021-04-05,,83.0,,21.0,,36.0
2021-04-06,,83.0,,21.0,,36.0
2021-04-07,,83.0,,21.0,,35.0
2021-04-08,,83.0,,20.0,,35.0
2021-04-09,,82.0,,20.0,,35.0
2021-04-10,,82.0,,20.0,,35.0
2021-04-11,,82.0,,20.0,,35.0
2021-04-12,,82.0,,20.0,,35.0
2021-04-13,,82.0,,20.0,,35.0
2021-04-14,,82.0,,20.0,,35.0
2021-04-15,,82.0,,20.0,,35.0
2021-04-16,,82.0,,20.0,,35.0
2021-04-17,,82.0,,20.0,,34.0
2021-04-18,,82.0,,20.0,,34.0
2021-04-19,,82.0,,20.0,,34.0
2021-04-20,,82.0,,20.0,,34.0
2021-04-21,,82.0,,19.0,,34.0
2021-04-22,,82.0,,19.0,,34.0
2021-04-23,,82.0,,19.0,,34.0
2021-04-24,,82.0,,19.0,,34.0
2021-04-25,,82.0,,19.0,,34.0
2021-04-26,,82.0,,19.0,,34.0
2021-04-27,,82.0,,19.0,,34.0
2021-04-28,,82.0,,19.0,,34.0
2021-04-29,,82.0,,19.0,,34.0
2021-04-30,,82.0,,19.0,,34.0
2021-05-01,,82.0,,19.0,,34.0
2021-05-02,,82.0,,19.0,,34.0
2021-05-03,,82.0,,19.0,,34.0
2021-05-04,,82.0,,19.0,,34.0
